"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1997/05/01","00:00","6.25","5.138","4.882","2.631","2.503","0.125","-0.102","-1.608","0"
"1997/06/01","00:00","NaN","5.453","5.18","2.956","2.835","0.489","0.282","NaN","13"
"1997/07/01","00:00","NaN","5.253","4.98","2.756","2.644","0.312","0.095","NaN","13"
"1997/08/01","00:00","NaN","5.285","5.046","2.858","2.736","0.427","0.253","NaN","13"
"1997/09/01","00:00","NaN","5.236","5.03","2.825","2.713","0.4","0.213","NaN","13"
"1997/10/01","00:00","NaN","5.262","5.003","2.815","2.7","0.397","0.24","NaN","13"
"1997/11/01","00:00","NaN","5.322","4.987","2.841","2.71","0.433","0.112","NaN","13"
"1997/12/01","00:00","6.26","5.007","4.692","2.441","2.32","-0.052","-0.354","-2.566","0"
"1998/01/01","00:00","7.497","5.456","5.115","2.851","2.761","0.407","0.187","-1.883","0"
"1998/02/01","00:00","7.602","5.627","5.331","3.146","3.069","0.807","0.587","-0.597","0"
"1998/03/01","00:00","6.598","5.24","4.954","2.657","2.531","0.108","-0.072","-1.962","0"
"1998/04/01","00:00","6.483","5.394","5.135","2.887","2.79","0.446","0.249","-1.158","0"
"1998/05/01","00:00","6.86","5.577","5.289","3.084","2.972","0.656","0.459","-0.768","0"
"1998/06/01","00:00","6.273","5.364","5.059","2.881","2.761","0.463","0.262","-0.315","0"
"1998/07/01","00:00","5.856","5.24","4.967","2.831","2.712","0.456","0.292","-0.233","0"
"1998/08/01","00:00","5.827","5.315","5.016","2.854","2.753","0.489","0.354","-0.522","0"
"1998/09/01","00:00","6.493","5.335","5.079","2.884","2.781","0.482","0.381","-0.965","0"
"1998/10/01","00:00","6.188","5.095","4.843","2.621","2.525","0.207","0.052","-1.115","0"
"1998/11/01","00:00","6.214","5.033","4.738","2.461","2.362","-0.013","-0.19","-1.063","0"
"1998/12/01","00:00","6.417","5.02","4.646","2.346","2.259","-0.128","-0.364","-1.847","0"
"1999/01/01","00:00","7.356","4.934","4.537","2.26","2.183","-0.171","-0.417","-2.165","0"
"1999/02/01","00:00","6.224","5.207","4.948","2.72","2.641","0.335","0.128","-0.896","0"
"1999/03/01","00:00","6.893","4.941","4.675","2.408","2.326","-0.023","-0.279","-1.726","0"
"1999/04/01","00:00","6.631","5.167","4.928","2.684","2.603","0.279","0.135","-1.194","0"
"1999/05/01","00:00","6.26","5.236","4.944","2.749","2.656","0.367","0.233","-0.81","0"
"1999/06/01","00:00","6.332","5.164","4.846","2.657","2.567","0.289","0.075","-0.699","0"
"1999/07/01","00:00","6.27","5.243","4.948","2.733","2.638","0.328","0.138","-0.735","0"
"1999/08/01","00:00","6.145","5.436","5.161","2.913","2.812","0.463","0.331","-0.495","0"
"1999/09/01","00:00","6.234","5.41","5.161","2.89","2.792","0.423","0.2","-0.807","0"
"1999/10/01","00:00","6.699","5.118","4.885","2.628","2.525","0.164","0","-1.083","0"
"1999/11/01","00:00","6.07","4.931","4.626","2.405","2.295","-0.036","-0.266","-1.224","0"
"1999/12/01","00:00","6.096","4.915","4.551","2.392","2.272","-0.007","-0.269","-1.85","0"
"2000/01/01","00:00","6.88","4.711","4.209","2.054","1.944","-0.322","-0.738","-2.723","0"
"2000/02/01","00:00","6.05","4.442","4.137","1.988","1.908","-0.322","-0.545","-1.768","0"
"2000/03/01","00:00","6.512","5.046","4.76","2.648","2.548","0.335","0.19","-0.902","0"
"2000/04/01","00:00","6.657","5.108","4.869","2.717","2.608","0.348","0.115","-1.558","0"
"2000/05/01","00:00","6.227","5.43","5.131","2.9","2.812","0.492","0.289","-0.961","0"
"2000/06/01","00:00","6.611","5.331","4.993","2.792","2.685","0.377","0.171","-0.758","0"
"2000/07/01","00:00","6.424","5.476","5.154","2.927","2.812","0.469","0.282","-0.64","0"
"2000/08/01","00:00","6.644","5.443","5.164","2.913","2.813","0.463","0.308","-0.394","0"
"2000/09/01","00:00","7.008","5.377","5.098","2.881","2.79","0.482","0.328","-0.538","0"
"2000/10/01","00:00","6.066","5.171","4.902","2.746","2.649","0.397","0.213","-0.922","0"
"2000/11/01","00:00","6.923","5.279","4.944","2.779","2.687","0.43","0.197","-1.703","0"
"2000/12/01","00:00","6.486","5.036","4.56","2.421","2.341","0.121","-0.197","-2.802","0"
"2001/01/01","00:00","NaN","5.043","4.695","2.566","2.48","0.266","0.003","NaN","13"
"2001/02/01","00:00","NaN","4.829","4.488","2.287","2.218","-0.049","-0.249","NaN","13"
"2001/03/01","00:00","NaN","5.197","4.915","2.818","2.713","0.515","0.259","NaN","13"
"2001/04/01","00:00","NaN","5.203","4.961","2.795","2.7","0.443","0.266","NaN","13"
"2001/05/01","00:00","6.184","5.131","4.879","2.717","2.615","0.351","0.141","-0.764","0"
"2001/06/01","00:00","6.253","5.167","4.852","2.664","2.562","0.272","0.043","-0.768","0"
"2001/07/01","00:00","6.309","5.226","4.888","2.733","2.639","0.39","0.184","-0.699","0"
"2001/08/01","00:00","6.227","5.197","4.902","2.73","2.644","0.387","0.22","-0.702","0"
"2001/09/01","00:00","6.358","5.292","5.056","2.923","2.82","0.584","0.436","-0.531","0"
"2001/10/01","00:00","6.49","5.016","4.774","2.618","2.503","0.233","0.069","-2.106","0"
"2001/11/01","00:00","5.837","4.925","4.623","2.464","2.359","0.095","-0.066","-1.198","0"
"2001/12/01","00:00","6.194","4.974","4.639","2.434","2.346","0.052","-0.164","-1.736","0"
"2002/01/01","00:00","6.342","4.79","4.314","2.087","1.985","-0.344","-0.63","-2.523","0"
"2002/02/01","00:00","6.539","4.967","4.616","2.428","2.346","0.075","-0.121","-2.32","0"
"2002/03/01","00:00","6.191","4.623","4.386","2.133","2.049","-0.289","-0.525","-1.998","0"
"2002/04/01","00:00","6.375","4.872","4.583","2.372","2.295","0.007","-0.18","-1.286","0"
"2002/05/01","00:00","6.184","4.954","4.616","2.457","2.374","0.131","-0.154","-1.132","0"
"2002/06/01","00:00","6.542","5.19","4.82","2.697","2.592","0.364","0.102","-0.863","0"
"2002/07/01","00:00","5.869","5.092","4.774","2.661","2.562","0.351","0.154","-0.64","0"
"2002/08/01","00:00","5.781","5.184","4.846","2.756","2.646","0.446","0.285","-0.745","0"
"2002/09/01","00:00","6.348","5.302","4.997","2.864","2.769","0.541","0.358","-0.869","0"
"2002/10/01","00:00","6.768","5.459","5.128","2.995","2.905","0.682","0.476","-1.161","0"
"2002/11/01","00:00","7.159","5.02","4.616","2.464","2.365","0.115","-0.154","-1.542","0"
"2002/12/01","00:00","7.539","5.056","4.596","2.382","2.29","-0.016","-0.328","-1.88","0"
"2003/01/01","00:00","7.585","4.777","4.337","2.211","2.133","-0.072","-0.325","-2.303","0"
"2003/02/01","00:00","7.182","4.439","4.042","1.939","1.865","-0.312","-0.535","-1.526","0"
"2003/03/01","00:00","6.854","4.925","4.662","2.523","2.433","0.203","0.023","-1.28","0"
"2003/04/01","00:00","7.49","5.171","4.895","2.808","2.703","0.512","0.299","-1.621","0"
"2003/05/01","00:00","7.051","5.23","4.911","2.818","2.73","0.548","0.361","-0.771","0"
"2003/06/01","00:00","6.647","5.374","4.993","2.927","2.833","0.673","0.502","-0.358","0"
"2003/07/01","00:00","6.24","5.203","4.862","2.766","2.659","0.456","0.249","-0.4","0"
"2003/08/01","00:00","5.866","5.256","4.944","2.795","2.689","0.433","0.266","-0.495","0"
"2003/09/01","00:00","6.841","5.594","5.279","3.14","3.04","0.801","0.646","-0.269","0"
"2003/10/01","00:00","6.529","5.174","4.859","2.72","2.612","0.364","0.151","-1.05","0"
"2003/11/01","00:00","7.113","5.02","4.646","2.556","2.451","0.256","-0.036","-2.11","0"
"2003/12/01","00:00","7.457","4.99","4.485","2.457","2.346","0.207","-0.164","-1.759","0"
"2004/01/01","00:00","5.843","4.587","4.085","2.051","1.973","-0.138","-0.436","-1.916","0"
"2004/02/01","00:00","NaN","4.652","4.301","2.234","2.139","-0.023","-0.223","NaN","13"
"2004/03/01","00:00","NaN","4.826","4.491","2.523","2.421","0.351","0.154","NaN","13"
"2004/04/01","00:00","NaN","4.81","4.514","2.5","2.385","0.256","0.059","NaN","13"
"2004/05/01","00:00","NaN","5.02","4.682","2.575","2.48","0.279","0.085","NaN","13"
"2004/06/01","00:00","6.795","5.217","4.846","2.713","2.618","0.39","0.177","-0.62","0"
"2004/07/01","00:00","6.056","5.292","4.921","2.785","2.679","0.436","0.223","-0.764","0"
"2004/08/01","00:00","6.083","5.285","4.928","2.779","2.674","0.42","0.24","-0.735","0"
"2004/09/01","00:00","6.565","5.367","5.098","2.999","2.895","0.692","0.515","-0.653","0"
"2004/10/01","00:00","6.65","5.472","5.203","3.146","3.038","0.873","0.709","-0.512","0"
"2004/11/01","00:00","7.028","5.125","4.721","2.697","2.595","0.469","0.259","-0.978","0"
"2004/12/01","00:00","7.142","5.013","4.59","2.559","2.462","0.335","0.016","-1.109","0"
"2005/01/01","00:00","6.827","5.105","4.695","2.68","2.6","0.505","0.233","-1.106","0"
"2005/02/01","00:00","6.585","5.062","4.708","2.664","2.572","0.436","0.2","-1.145","0"
"2005/03/01","00:00","6.526","5.01","4.724","2.664","2.559","0.394","0.151","-3.094","0"
"2005/04/01","00:00","6.854","5.377","5.095","3.051","2.922","0.748","0.528","-0.82","0"
"2005/05/01","00:00","7.129","5.518","5.246","3.136","3.046","0.846","0.63","-0.427","0"
"2005/06/01","00:00","6.194","5.407","5.056","2.946","2.841","0.627","0.377","-0.535","0"
"2005/07/01","00:00","6.526","5.42","5.056","3.002","2.885","0.715","0.505","-0.417","0"
"2005/08/01","00:00","6.529","5.315","4.993","2.963","2.859","0.725","0.564","-0.328","0"
"2005/09/01","00:00","6.371","5.174","4.895","2.874","2.756","0.617","0.443","-0.479","0"
"2005/10/01","00:00","7.395","5.518","5.207","3.15","3.061","0.915","0.646","-1.831","0"
"2005/11/01","00:00","6.207","5.135","4.659","2.589","2.477","0.295","0.069","-0.883","0"
"2005/12/01","00:00","7.067","4.885","4.419","2.339","2.259","0.098","-0.223","-1.985","0"
"2006/01/01","00:00","7.638","5.236","4.724","2.585","2.495","0.266","-0.016","-1.388","0"
"2006/02/01","00:00","7.106","4.816","4.423","2.356","2.257","0.092","-0.22","-1.693","0"
"2006/03/01","00:00","5.846","4.783","4.511","2.379","2.272","0.033","-0.112","-1.726","0"
"2006/04/01","00:00","6.165","5.128","4.79","2.694","2.587","0.384","0.207","-0.705","0"
"2006/05/01","00:00","6.119","5.404","5.046","2.989","2.895","0.745","0.522","-0.564","0"
"2006/06/01","00:00","5.823","5.24","4.865","2.835","2.738","0.61","0.354","-0.318","0"
"2006/07/01","00:00","5.732","5.138","4.793","2.772","2.669","0.545","0.308","-0.636","0"
"2006/08/01","00:00","6.286","5.417","5.075","3.045","2.938","0.801","0.663","-0.502","0"
"2006/09/01","00:00","7.444","5.669","5.348","3.281","3.179","1.01","0.84","-0.633","0"
"2006/10/01","00:00","7.159","5.387","4.951","2.9","2.799","0.646","0.381","-1.198","0"
"2006/11/01","00:00","6.621","5.417","5.069","2.995","2.897","0.725","0.518","-0.899","0"
"2006/12/01","00:00","6.135","4.751","4.37","2.264","2.136","-0.098","-0.305","-1.64","0"
"2007/01/01","00:00","6.191","4.803","4.327","2.251","2.149","-0.03","-0.243","-2.539","0"
"2007/02/01","00:00","5.627","4.186","3.825","1.788","1.699","-0.427","-0.748","-2.759","0"
"2007/03/01","00:00","6.352","4.469","4.16","2.093","2.003","-0.154","-0.341","-2.428","0"
"2007/04/01","00:00","7.664","5.197","4.849","2.808","2.707","0.564","0.361","-0.833","0"
"2007/05/01","00:00","6.276","4.915","4.58","2.533","2.429","0.279","0.046","-1.056","0"
"2007/06/01","00:00","6.827","5.308","4.931","2.881","2.792","0.653","0.446","0.026","0"
"2007/07/01","00:00","5.981","5.23","4.846","2.762","2.671","0.495","0.302","-0.302","0"
"2007/08/01","00:00","6.319","5.413","5.098","2.923","2.83","0.561","0.387","-0.482","0"
"2007/09/01","00:00","6.417","5.24","4.938","2.772","2.69","0.443","0.308","-0.768","0"
"2007/10/01","00:00","6.926","5.453","5.112","2.946","2.869","0.627","0.499","-0.942","0"
"2007/11/01","00:00","6.352","5.174","4.823","2.677","2.597","0.371","0.115","-1.627","0"
"2007/12/01","00:00","7.185","5.167","4.629","2.487","2.426","0.223","-0.108","-1.601","0"
"2008/01/01","00:00","5.942","5","4.547","2.454","2.387","0.226","-0.046","-1.335","0"
"2008/02/01","00:00","6.243","4.934","4.518","2.415","2.306","0.095","-0.131","-2.28","0"
"2008/03/01","00:00","6.348","5.066","4.659","2.575","2.505","0.351","0.108","-2.782","0"
"2008/04/01","00:00","7.306","5.289","4.993","2.9","2.81","0.627","0.436","-0.873","0"
"2008/05/01","00:00","7.605","5.771","5.351","3.173","3.092","0.833","0.564","-0.397","0"
"2008/06/01","00:00","6.371","5.505","5.102","2.917","2.841","0.581","0.354","-0.577","0"
"2008/07/01","00:00","6.276","5.466","5.049","2.874","2.792","0.535","0.312","-0.679","0"
"2008/08/01","00:00","6.48","5.545","5.203","2.969","2.908","0.614","0.427","-0.246","0"
"2008/09/01","00:00","6.588","5.525","5.236","3.058","2.99","0.745","0.568","-0.374","0"
"2008/10/01","00:00","7.205","5.427","5.049","2.877","2.803","0.558","0.387","-1.512","0"
"2008/11/01","00:00","6.955","5.233","4.869","2.726","2.649","0.43","0.18","-1.378","0"
"2008/12/01","00:00","7.595","4.885","4.383","2.27","2.185","-0.013","-0.446","-2.103","0"
"2009/01/01","00:00","6.444","4.797","4.4","2.241","2.18","-0.039","-0.295","-2.031","0"
"2009/02/01","00:00","6.099","4.905","4.528","2.346","2.287","0.046","-0.102","-1.729","0"
"2009/03/01","00:00","6.194","5.115","4.823","2.628","2.556","0.289","0.141","-1.624","0"
"2009/04/01","00:00","5.932","5.249","4.921","2.72","2.628","0.335","0.148","-0.768","0"
"2009/05/01","00:00","6.486","5.279","4.954","2.736","2.659","0.364","0.151","-0.614","0"
"2009/06/01","00:00","7.133","5.879","5.502","3.284","3.2","0.899","0.689","-0.079","0"
"2009/07/01","00:00","7.083","5.636","5.282","3.133","3.048","0.814","0.623","-0.522","0"
"2009/08/01","00:00","6.545","5.44","5.095","2.966","2.876","0.656","0.466","-0.568","0"
"2009/09/01","00:00","6.785","5.581","5.302","3.143","3.063","0.823","0.663","-0.676","0"
"2009/10/01","00:00","7.762","5.673","5.404","3.228","3.163","0.922","0.673","-1.119","0"
"2009/11/01","00:00","7.556","5.725","5.358","3.199","3.13","0.902","0.686","-1.119","0"
"2009/12/01","00:00","6.69","5.308","4.875","2.657","2.603","0.331","-0.039","-2.293","0"
"2010/01/01","00:00","6.581","5.305","4.892","2.654","2.575","0.259","0.052","-2.474","0"
"2010/02/01","00:00","6.627","5.335","4.993","2.858","2.781","0.568","0.374","-1.394","0"
"2010/03/01","00:00","8.802","5.951","5.6","3.386","3.292","0.984","0.801","-1.02","0"
"2010/04/01","00:00","7.346","5.495","5.19","2.992","2.897","0.6","0.39","-0.659","0"
"2010/05/01","00:00","6.414","5.361","5","2.828","2.748","0.495","0.282","-0.423","0"
"2010/06/01","00:00","6.316","5.561","5.197","3.045","2.956","0.715","0.482","-0.23","0"
"2010/07/01","00:00","6.43","5.456","5.118","2.956","2.866","0.614","0.417","-0.167","0"
"2010/08/01","00:00","6.795","5.627","5.318","3.14","3.058","0.797","0.646","-0.413","0"
"2010/09/01","00:00","6.585","5.62","5.308","3.084","2.989","0.666","0.512","-0.745","0"
"2010/10/01","00:00","7.27","5.591","5.259","3.018","2.956","0.653","0.456","-0.928","0"
"2010/11/01","00:00","7.178","5.587","5.266","3.002","2.931","0.597","0.338","-0.899","0"
"2010/12/01","00:00","6.677","5.417","5.003","2.759","2.698","0.394","0.118","-1.903","0"
"2011/01/01","00:00","6.378","5.22","4.803","2.566","2.505","0.207","-0.003","-1.273","0"
"2011/02/01","00:00","6.542","5.082","4.688","2.431","2.377","0.066","-0.24","-2.254","0"
"2011/03/01","00:00","6.837","5.253","4.957","2.753","2.672","0.387","0.187","-1.604","0"
"2011/04/01","00:00","8.097","5.459","5.144","2.9","2.825","0.505","0.289","-1.079","0"
"2011/05/01","00:00","7.477","5.791","5.433","3.268","3.173","0.912","0.735","0.003","0"
"2011/06/01","00:00","6.795","5.784","5.427","3.228","3.156","0.886","0.696","-0.164","0"
"2011/07/01","00:00","6.572","5.686","5.348","3.1","3.018","0.689","0.515","-0.118","0"
"2011/08/01","00:00","9.508","5.843","5.525","3.228","3.138","0.751","0.548","-1.066","0"
"2011/09/01","00:00","7.552","5.965","5.689","3.422","3.312","0.935","0.787","-0.19","0"
"2011/10/01","00:00","7.356","5.814","5.512","3.209","3.135","0.758","0.558","-0.886","0"
"2011/11/01","00:00","6.969","5.407","5.052","2.818","2.731","0.41","0.246","-0.863","0"
"2011/12/01","00:00","6.693","5.299","4.902","2.644","2.575","0.249","0.02","-1.306","0"
"2012/01/01","00:00","7.018","5.049","4.639","2.441","2.351","0.062","-0.194","-1.837","0"
"2012/02/01","00:00","6.184","5.059","4.728","2.464","2.402","0.075","-0.135","-2.136","0"
"2012/03/01","00:00","5.751","5.131","4.879","2.677","2.59","0.302","0.148","-1.762","0"
"2012/04/01","00:00","6.867","5.397","5.131","2.851","2.776","0.42","0.24","-0.801","0"
"2012/05/01","00:00","6.706","5.472","5.171","2.884","2.812","0.453","0.259","-0.63","0"
"2012/06/01","00:00","7.68","5.837","5.509","3.222","3.141","0.774","0.541","-0.243","0"
"2012/07/01","00:00","6.598","5.64","5.312","3.005","2.928","0.545","0.354","-0.367","0"
"2012/08/01","00:00","6.46","5.591","5.325","3.018","2.935","0.545","0.387","-0.335","0"
"2012/09/01","00:00","6.66","5.459","5.213","2.933","2.846","0.479","0.328","-0.676","0"
"2012/10/01","00:00","14.042","5.919","5.531","3.235","3.132","0.732","0.515","-0.988","0"
"2012/11/01","00:00","6.89","5.479","5.125","2.91","2.82","0.515","0.315","-0.886","0"
"2012/12/01","00:00","7.464","5.561","5.164","2.92","2.831","0.499","0.151","-1.736","0"
"2013/01/01","00:00","6.732","4.977","4.593","2.316","2.246","-0.102","-0.374","-1.726","0"
"2013/02/01","00:00","7.32","5.049","4.692","2.438","2.377","0.062","-0.135","-1.476","0"
"2013/03/01","00:00","7.365","5.535","5.279","2.999","2.91","0.541","0.318","-1.07","0"
"2013/04/01","00:00","6.624","5.302","5","2.726","2.631","0.262","0.049","-0.902","0"
"2013/05/01","00:00","5.974","5.262","5.003","2.69","2.602","0.2","-0.023","-1.575","0"
"2013/06/01","00:00","6.44","5.564","5.243","3.002","2.889","0.535","0.308","-0.902","0"
"2013/07/01","00:00","6.985","5.541","5.236","3.045","2.941","0.646","0.469","-0.276","0"
"2013/08/01","00:00","6.266","5.502","5.223","3.002","2.925","0.627","0.512","-0.64","0"
"2013/09/01","00:00","6.171","5.472","5.233","2.999","2.918","0.604","0.476","-0.492","0"
"2013/10/01","00:00","6.811","5.574","5.358","3.114","3.028","0.699","0.568","-0.39","0"
"2013/11/01","00:00","6.64","5.036","4.728","2.441","2.349","-0.03","-0.253","-1.125","0"
"2013/12/01","00:00","6.726","5.236","4.81","2.487","2.405","0","-0.197","-1.063","0"
"2014/01/01","00:00","7.47","5.115","4.705","2.359","2.292","-0.121","-0.318","-1.995","0"
"2014/02/01","00:00","6.398","4.849","4.528","2.31","2.233","-0.062","-0.246","-2.083","0"
"2014/03/01","00:00","6.391","5.151","4.895","2.556","2.489","0.082","-0.066","-1.302","0"
"2014/04/01","00:00","7.569","5.505","5.184","2.907","2.818","0.453","0.23","-0.899","0"
"2014/05/01","00:00","6.755","5.594","5.276","3.005","2.918","0.561","0.348","-0.443","0"
"2014/06/01","00:00","6.683","5.627","5.295","3.064","2.971","0.646","0.456","-0.489","0"
"2014/07/01","00:00","6.401","5.463","5.157","2.927","2.83","0.502","0.289","-0.653","0"
"2014/08/01","00:00","7.011","5.682","5.39","3.12","3.036","0.682","0.541","-0.433","0"
"2014/09/01","00:00","6.936","5.715","5.413","3.12","3.04","0.666","0.538","-0.568","0"
"2014/10/01","00:00","6.49","5.699","5.469","3.189","3.074","0.682","0.502","-0.912","0"
"2014/11/01","00:00","6.693","5.276","4.948","2.671","2.569","0.19","-0.069","-1.532","0"
"2014/12/01","00:00","7.208","5.492","5.144","2.825","2.759","0.377","0.115","-1.089","0"
"2015/01/01","00:00","6.765","4.875","4.488","2.238","2.175","-0.138","-0.417","-1.883","0"
"2015/02/01","00:00","6.411","4.934","4.593","2.333","2.265","-0.062","-0.259","-2.884","0"
"2015/03/01","00:00","6.483","4.695","4.426","2.195","2.133","-0.161","-0.344","-1.873","0"
"2015/04/01","00:00","7.021","5.167","4.931","2.654","2.577","0.223","0.036","-1.063","0"
"2015/05/01","00:00","6.243","5.112","4.787","2.507","2.418","0.049","-0.105","-0.886","0"
"2015/06/01","00:00","6.25","5.564","5.226","2.956","2.874","0.522","0.348","-0.325","0"
"2015/07/01","00:00","6.368","5.709","5.39","3.107","3.004","0.617","0.449","-0.279","0"
"2015/08/01","00:00","6.27","5.617","5.387","3.028","2.931","0.476","0.305","-0.892","0"
"2015/09/01","00:00","6.844","5.699","5.489","3.156","3.066","0.643","0.502","-0.879","0"
"2015/10/01","00:00","7.402","5.738","5.479","3.156","3.056","0.633","0.427","-1.014","0"
"2015/11/01","00:00","6.772","5.322","5.069","2.769","2.685","0.302","0.098","-1.05","0"
"2015/12/01","00:00","6.66","5.364","5.059","2.762","2.685","0.312","0.052","-1.503","0"
"2016/01/01","00:00","7.877","5.249","4.934","2.677","2.616","0.299","0.003","-2.369","0"
"2016/02/01","00:00","7.953","5.18","4.839","2.559","2.462","0.085","-0.131","-2.336","0"
"2016/03/01","00:00","6.555","5.194","4.964","2.723","2.62","0.276","0.089","-1.257","0"
"2016/04/01","00:00","7.057","5.39","5.141","2.841","2.756","0.371","0.082","-2.27","0"
"2016/05/01","00:00","7.418","5.417","5.167","2.831","2.744","0.322","0.092","-0.751","0"
"2016/06/01","00:00","6.811","5.548","5.243","2.881","2.789","0.335","0.108","-0.915","0"
"2016/07/01","00:00","6.25","5.607","5.285","2.927","2.835","0.384","0.187","-0.764","0"
"2016/08/01","00:00","6.434","5.502","5.236","2.89","2.805","0.374","0.21","-0.505","0"
"2016/09/01","00:00","6.86","5.728","5.522","3.225","3.138","0.755","0.574","-0.646","0"
"2016/10/01","00:00","6.89","5.584","5.302","3.005","2.913","0.525","0.325","-0.702","0"
"2016/11/01","00:00","6.696","5.276","4.925","2.654","2.569","0.213","-0.013","-1.594","0"
"2016/12/01","00:00","6.568","5.046","4.708","2.408","2.315","-0.079","-0.374","-2.451","0"
"2017/01/01","00:00","7.49","5.328","4.931","2.605","2.526","0.118","-0.138","-1.841","0"
"2017/02/01","00:00","6.302","5.105","4.806","2.497","2.411","0.016","-0.226","-2.457","0"
"2017/03/01","00:00","7.605","4.928","4.613","2.231","2.142","-0.325","-0.63","-2.169","0"
"2017/04/01","00:00","7.221","5.65","5.335","3.009","2.904","0.472","0.276","-0.869","0"
"2017/05/01","00:00","7.431","5.755","5.492","3.182","3.081","0.669","0.456","-0.328","0"
"2017/06/01","00:00","6.736","5.617","5.318","3.012","2.91","0.502","0.289","-0.883","0"
"2017/07/01","00:00","7.031","5.715","5.397","3.13","3.023","0.65","0.492","-0.236","0"
"2017/08/01","00:00","6.224","5.577","5.318","3.074","2.984","0.65","0.512","-0.463","0"
"2017/09/01","00:00","6.955","5.673","5.433","3.212","3.105","0.778","0.656","-0.617","0"
"2017/10/01","00:00","7.11","5.607","5.289","3.051","2.943","0.597","0.397","-0.722","0"
"2017/11/01","00:00","7.172","5.574","5.249","2.93","2.859","0.469","0.246","-0.866","0"
"2017/12/01","00:00","7.254","5.177","4.738","2.405","2.329","-0.079","-0.325","-2.028","0"
"2018/01/01","00:00","7.438","5","4.534","2.182","2.136","-0.262","-0.459","-3.314","0"
"2018/02/01","00:00","5.837","4.944","4.642","2.411","2.333","0.023","-0.217","-1.752","0"
"2018/03/01","00:00","7.9","5.794","5.499","3.192","3.11","0.722","0.495","-1.25","0"
"2018/04/01","00:00","7.398","5.371","5.112","2.838","2.73","0.348","0.092","-0.899","0"
"2018/05/01","00:00","6.834","5.525","5.207","2.946","2.864","0.525","0.318","-0.499","0"
"2018/06/01","00:00","6.726","5.787","5.446","3.202","3.117","0.791","0.6","-0.528","0"
"2018/07/01","00:00","6.562","5.614","5.285","3.058","2.982","0.679","0.486","-0.518","0"
"2018/08/01","00:00","6.949","5.758","5.453","3.205","3.107","0.761","0.584","-0.272","0"
"2018/09/01","00:00","7.694","6.024","5.774","3.478","3.402","1.03","0.876","-0.056","0"
"2018/10/01","00:00","8.373","5.699","5.344","3.068","2.971","0.597","0.387","-0.322","0"
"2018/11/01","00:00","7.746","5.62","5.184","2.887","2.802","0.42","0.125","-1.407","0"
"2018/12/01","00:00","7.247","5.627","5.22","2.917","2.841","0.463","0.233","-1.417","0"
"2019/01/01","00:00","7.484","5.236","4.852","2.625","2.541","0.23","-0.066","-2.969","0"
"2019/02/01","00:00","6.87","5.033","4.669","2.398","2.326","-0.016","-0.279","-1.614","0"
"2019/03/01","00:00","7.208","5.174","4.859","2.664","2.577","0.295","0.144","-2.251","0"
"2019/04/01","00:00","6.965","5.335","5.043","2.848","2.744","0.446","0.217","-1.155","0"
"2019/05/01","00:00","6.726","5.781","5.469","3.245","3.156","0.843","0.64","-0.108","0"
"2019/06/01","00:00","6.713","5.748","5.417","3.186","3.109","0.801","0.597","-0.197","0"
"2019/07/01","00:00","6.657","5.784","5.44","3.176","3.092","0.745","0.551","-0.085","0"
"2019/08/01","00:00","6.601","5.84","5.568","3.261","3.161","0.755","0.584","-0.725","0"
"2019/09/01","00:00","6.801","5.82","5.584","3.284","3.189","0.794","0.633","-0.489","0"
"2019/10/01","00:00","7.48","6.079","5.764","3.514","3.414","1.063","0.866","-1.414","0"
"2019/11/01","00:00","7.001","5.623","5.285","3.041","2.943","0.6","0.381","-1.562","0"
"2019/12/01","00:00","6.962","5.463","5.046","2.861","2.785","0.525","0.167","-1.949","0"
"2020/01/01","00:00","6.532","5.282","4.915","2.73","2.667","0.42","0.203","-1.293","0"
"2020/02/01","00:00","6.555","5.226","4.865","2.644","2.557","0.249","-0.036","-1.919","0"
"2020/03/01","00:00","6.814","5.492","5.203","3.025","2.943","0.682","0.482","-1.119","0"
"2020/04/01","00:00","7.303","5.696","5.42","3.192","3.086","0.751","0.551","-1.673","0"
"2020/05/01","00:00","7.139","5.42","5.121","2.894","2.792","0.459","0.184","-1.644","0"
"2020/06/01","00:00","6.66","5.709","5.384","3.114","3.025","0.666","0.459","-0.157","0"
"2020/07/01","00:00","6.745","5.86","5.502","3.258","3.166","0.833","0.61","-0.089","0"
"2020/08/01","00:00","6.598","5.758","5.453","3.202","3.105","0.758","0.597","-0.341","0"
"2020/09/01","00:00","6.985","5.758","5.479","3.284","3.186","0.892","0.712","-0.374","0"
"2020/10/01","00:00","7.31","5.653","5.371","3.159","3.061","0.755","0.591","-0.538","0"
"2020/11/01","00:00","6.969","5.299","4.954","2.74","2.664","0.377","0.125","-1.122","0"
"2020/12/01","00:00","7.608","5.476","5.049","2.831","2.772","0.495","0.21","-0.853","0"
"2021/01/01","00:00","7.142","5.541","5.131","2.923","2.849","0.568","0.256","-1.309","0"
"2021/02/01","00:00","7.789","5.486","5.121","2.933","2.885","0.65","0.39","-0.696","0"
"2021/03/01","00:00","6.962","5.115","4.754","2.48","2.382","0.01","-0.144","-2.825","0"
"2021/04/01","00:00","6.804","5.492","5.213","2.966","2.877","0.541","0.364","-1.027","0"
